pid,age,current_working,marital,logfaminc,loginc,n_loginc,ownhome,num_marriage,married,birthyear,white,edu,fambus_ever,male,fid,mid,n_child,n_obs
41180,28,1,1,11.320227,11.010316,,,Actual number of marriages,1,1980,1,16,0,1,41004,41179,2,6
41180,30,1,1,11.513925,11.19272,,0,Actual number of marriages,1,1980,1,16,0,1,41004,41179,2,6
41180,32,1,1,11.713415,11.422454,,0,Actual number of marriages,1,1980,1,16,0,1,41004,41179,2,6
41180,34,1,1,11.837687,11.542679,,0,Actual number of marriages,1,1980,1,16,0,1,41004,41179,2,6
41180,36,1,1,11.663068,11.661345,,0,Actual number of marriages,1,1980,1,16,0,1,41004,41179,2,6
50003,25,1,0,10.991104,10.963879,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,26,1,0,11.034793,10.944506,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,27,1,0,11.091187,10.636096,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,28,1,0,11.181039,10.745485,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,29,1,1,11.329558,10.706834,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,30,1,1,11.192114,10.65693,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,31,1,1,11.243215,10.674521,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,32,1,1,11.09741,10.468801,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,33,1,1,10.999597,10.33462,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,34,1,1,11.023679,10.360064,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,35,1,1,11.14672,10.385914,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,36,1,1,11.287691,10.449828,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,37,1,1,11.022202,10.328755,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,39,1,1,11.246298,10.483494,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,41,1,1,11.201504,10.447903,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,43,1,1,11.261191,10.5007,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,45,1,1,11.327768,10.425839,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,47,1,1,11.216523,10.351277,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,49,1,1,11.315329,10.226983,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,51,1,1,11.340487,10.17966,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,53,1,1,10.200075,10.179413,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
50003,55,1,1,10.368994,9.8246069,,,Actual number of marriages,0,1959,1,12,0,1,50001,50002,5,22
53003,25,1,1,10.573699,9.7515593,,,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,26,1,1,10.620595,10.31311,,,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,27,1,1,10.689442,10.689442,,,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,28,1,1,10.928633,10.800799,,,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,29,1,1,11.157393,10.582028,,0,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,30,1,1,11.265361,10.986648,,0,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,31,1,1,10.940827,10.650744,,0,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,32,1,1,10.590868,10.488214,,0,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,33,1,1,11.029066,10.537946,,0,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,34,1,1,11.04822,10.671742,,0,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,35,1,1,10.72516,10.686841,,,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,36,1,1,10.764372,10.743128,,,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,37,1,1,10.73657,10.722386,,,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
53003,38,1,1,10.960162,10.75826,,,Actual number of marriages,1,1957,1,12,0,1,53001,53002,8,23
